YEAR,COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
2023,BOLIVIA,0,1,6,4,5,2,2,2,0,5,3,4,34
2024,BOLIVIA,8,7,2,6,5,4,2,6,40,PENDING,PENDING,PENDING,
2018,BOSNIA AND HERZEGOVINA,20,45,25,18,8,16,15,9,13,19,30,43,261
2019,BOSNIA AND HERZEGOVINA,32,33,29,14,8,9,5,15,14,10,13,34,216
2020,BOSNIA AND HERZEGOVINA,30,21,17,0,0,0,0,0,0,0,0,0,68
2021,BOSNIA AND HERZEGOVINA,0,1,0,0,0,0,0,1,0,2,6,9,19
2022,BOSNIA AND HERZEGOVINA,15,27,28,11,5,1,0,4,0,2,5,6,104
2023,BOSNIA AND HERZEGOVINA,10,7,15,16,18,3,10,15,8,9,14,50,175
2024,BOSNIA AND HERZEGOVINA,37,66,17,18,15,10,18,19,200,PENDING,PENDING,PENDING,
2018,BOTSWANA,9,4,4,4,0,3,4,5,1,0,1,13,48
2019,BOTSWANA,7,4,2,2,2,2,2,2,0,2,3,9,37
2020,BOTSWANA,11,2,1,0,0,0,0,0,0,0,0,0,14
2021,BOTSWANA,0,0,1,1,0,0,0,0,0,0,0,0,2
2022,BOTSWANA,5,0,0,1,2,0,3,0,0,0,0,4,15
2023,BOTSWANA,4,1,2,3,7,3,11,2,2,2,3,21,61
2024,BOTSWANA,3,2,3,2,1,5,3,7,26,PENDING,PENDING,PENDING,
2018,BRAZIL,226,156,357,786,124,116,117,98,102,125,298,269,2774
2019,BRAZIL,330,233,310,637,46,74,122,75,115,106,318,598,2964
2020,BRAZIL,467,337,71,0,0,0,0,0,0,0,0,0,875
2021,BRAZIL,0,3,3,6,2,1,0,4,6,6,30,98,159
2022,BRAZIL,49,48,87,135,42,27,34,32,40,27,51,97,669
2023,BRAZIL,101,83,112,208,74,84,69,77,82,94,117,236,1337
2024,BRAZIL,236,212,159,239,106,111,134,129,1326,PENDING,PENDING,PENDING,
2018,BRUNEI,4,3,17,6,6,5,13,10,4,7,5,11,91
2021,BRUNEI,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,BRUNEI DARUSSALAM,4,11,6,2,0,5,0,2,5,2,2,1,40
2020,BRUNEI DARUSSALAM,4,5,3,0,0,0,0,0,0,0,0,0,12
2022,BRUNEI DARUSSALAM,0,0,0,0,1,0,0,6,2,1,2,4,16
2023,BRUNEI DARUSSALAM,0,6,1,2,0,3,5,2,4,1,6,3,33
2024,BRUNEI DARUSSALAM,1,11,9,4,3,15,7,6,56,PENDING,PENDING,PENDING,
2018,BULGARIA,277,381,352,218,87,85,110,96,93,135,223,607,2664
2019,BULGARIA,341,478,375,246,49,196,67,75,67,121,268,391,2674
2020,BULGARIA,305,303,79,0,0,0,0,0,0,0,0,0,687
2021,BULGARIA,0,0,2,15,4,0,0,4,1,5,58,122,211
2022,BULGARIA,305,547,396,146,15,13,13,25,22,18,30,113,1643
2023,BULGARIA,134,325,283,150,18,16,45,46,60,94,234,555,1960
2024,BULGARIA,656,624,458,313,71,26,34,43,2225,PENDING,PENDING,PENDING,
2018,BURKINA FASO,2,1,0,4,1,0,1,1,3,2,0,4,19
2019,BURKINA FASO,0,1,4,0,0,0,1,1,2,1,0,2,12
2020,BURKINA FASO,0,1,0,0,0,0,0,0,0,0,0,0,1
2021,BURKINA FASO,0,0,0,0,0,0,0,0,0,2,0,0,2
2022,BURKINA FASO,1,0,0,0,0,0,0,0,0,0,0,0,1
2023,BURKINA FASO,0,1,0,1,4,0,0,1,0,2,0,0,9
2024,BURKINA FASO,0,0,0,1,1,0,0,0,2,PENDING,PENDING,PENDING,
2019,BURUNDI,1,1,,0,0,0,0,0,,0,0,1,3
2020,BURUNDI,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,BURUNDI,0,1,0,0,0,0,0,0,0,0,1,0,2
2023,BURUNDI,0,2,0,0,0,0,1,2,2,2,2,1,12
2024,BURUNDI,0,0,1,0,1,1,0,1,4,PENDING,PENDING,PENDING,
2018,BURUNDI ,1,0,0,0,0,0,1,1,1,11,1,2,18
2018,CAMBODIA,85,85,103,142,84,38,51,35,37,28,64,19,771
2019,CAMBODIA,128,745,1592,20,48,27,41,22,36,22,94,66,2841
2020,CAMBODIA,146,152,74,0,0,0,0,0,0,0,0,0,372
2021,CAMBODIA,0,0,1,0,0,0,0,0,0,2,4,7,14
2022,CAMBODIA,21,22,2,4,6,2,14,3,8,12,43,20,157
2023,CAMBODIA,31,57,47,12,75,75,47,9,26,70,42,28,519
2024,CAMBODIA,42,41,531,162,82,50,24,25,957,PENDING,PENDING,PENDING,
2018,CAMEROON,2,0,1,1,0,4,2,2,4,5,2,1,24
2019,CAMEROON,0,1,1,1,0,1,1,2,1,2,1,1,12
2020,CAMEROON,3,2,1,0,0,0,0,0,0,0,0,0,6
2021,CAMEROON,0,0,0,0,0,0,0,0,0,1,1,2,4
2022,CAMEROON,1,1,2,0,0,0,0,2,0,1,0,0,7
2023,CAMEROON,8,3,0,0,2,2,2,2,1,4,3,1,28
2024,CAMEROON,1,4,4,1,0,0,2,0,12,PENDING,PENDING,PENDING,
2018,CANADA,5682,3999,5113,4972,3297,4676,6017,5440,2903,2406,3496,4680,52681
2019,CANADA,5840,6469,6011,3741,1575,2827,3826,4052,2438,2385,3053,6512,48729
2020,CANADA,5510,5482,1444,0,0,0,0,0,0,0,0,0,12436
2021,CANADA,17,71,120,144,69,67,178,594,265,688,1161,1705,5079
2022,CANADA,1666,1958,2989,2083,2013,2308,3458,2581,1552,1625,1994,2618,26845
2023,CANADA,3681,3107,4066,3310,3753,4509,5737,4735,2426,2302,2678,3640,43944
2024,CANADA,4126,3912,4034,3594,3294,3263,4821,3868,30912,PENDING,PENDING,PENDING,
2018,CAPE VERDE,1,0,0,0,0,0,2,1,1,0,0,1,6
2019,CAPE VERDE,0,0,1,0,0,0,0,0,1,2,2,0,6
2020,CAPE VERDE,1,1,0,0,0,0,0,0,0,0,0,0,2
2021,CAPE VERDE,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,CAPE VERDE,2,2,1,1,0,0,0,0,0,0,0,0,6
2023,CAPE VERDE,0,0,0,1,0,0,1,0,0,0,0,0,2
2024,CAPE VERDE,0,0,0,0,0,0,1,1,2,PENDING,PENDING,PENDING,
2018,CENTRAL AFRICAN REPUBLIC,0,0,0,0,0,0,1,0,0,0,0,0,1
2020,CENTRAL AFRICAN REPUBLIC,0,0,,,,,,,,,,,
2021,CENTRAL AFRICAN REPUBLIC,0,0,0,0,0,1,0,0,0,0,0,0,1
2023,CENTRAL AFRICAN REPUBLIC,0,0,0,0,0,0,0,0,0,0,1,1,2
2024,CENTRAL AFRICAN REPUBLIC,0,0,29,0,0,0,1,1,31,PENDING,PENDING,PENDING,
2018,CHAD,0,0,0,0,0,0,1,1,0,0,2,0,4
2019,CHAD,0,0,4,0,0,1,1,0,,0,0,0,6
2020,CHAD,0,0,1,0,0,0,0,0,0,0,0,0,1
2021,CHAD,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,CHAD,0,2,0,0,1,0,0,1,0,0,0,1,5
2023,CHAD,0,0,0,0,0,0,0,0,1,0,0,0,1
2024,CHAD,0,0,1,0,0,0,0,1,2,PENDING,PENDING,PENDING,
2018,CHILE,99,104,109,147,55,43,64,59,55,59,119,89,1002
2019,CHILE,132,204,85,100,33,24,36,29,59,41,65,130,938
2020,CHILE,128,117,26,0,0,0,0,0,0,0,0,0,271
2021,CHILE,0,1,0,0,0,0,0,0,0,3,4,15,23
2022,CHILE,29,14,30,12,16,5,7,4,7,12,23,23,182
2023,CHILE,26,45,27,45,33,42,27,28,19,30,31,41,394
2024,CHILE,56,61,77,53,42,32,36,42,399,PENDING,PENDING,PENDING,
2018,CHINA,24275,35929,21101,17462,17103,20424,27460,26558,19600,18882,18888,18283,265965
2019,CHINA,26414,28039,23759,14263,1589,3496,6926,9503,9231,11683,16312,16648,167863
2020,CHINA,22363,2096,1688,0,0,0,0,0,0,0,0,0,26147
